"Source:","/home/bem22/electronics/projects/wembed-systems-bms-v2/wembed-systems-bms-v2.kicad_sch"
"Date:","Wed 06 Dec 2023 06:17:36 AM CET"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu23.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","BT1","Battery Pack","Device:Battery","","~","","","","","","",""
"2","1","C1","2.2uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","",""
"3","2","C2, C3","10uF","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","",""
"4","1","C4","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","","",""
"5","1","CASTEL1","CASTELLED_BMS","Connector_Generic:Conn_01x04","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","~","","","","","","",""
"6","1","D1","CHG","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","","","","","",""
"7","1","D2","ERR","Device:LED_Small","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","","","","","","",""
"8","2","H1, H2","MountingHole_Pad_MP","Mechanical:MountingHole_Pad_MP","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","",""
"9","1","IC1","nPM1100-CAAA-E-R7","wembed-systems-symbols:nPM1100-CAAA-E-R7","wembed-systems-libs:nPM1100","","","Battery Management","0.522","Nordic Semiconductor","nPM1100-CAAA-E-R7","949-NPM1100-CAAA-R7","https://www.mouser.co.uk/ProductDetail/Nordic-Semiconductor/nPM1100-CAAA-E-R7?qs=vvQtp7zwQdOU6PwQjneJOA%3D%3D"
"10","1","J1","Conn_02x01","Connector_Generic:Conn_02x01","wembed-systems-libs:SM02B-SRSS-TB_LF__SN_","~","","","","","","",""
"11","1","J2","USB4125-GF-A-0190","wembed-systems-symbols:USB4125-GF-A-0190","wembed-systems-libs:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","","","","","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4125-GF-A-0190","640-USB4125-GF-A-190","https://www.mouser.co.uk/ProductDetail/GCT/USB4125-GF-A-0190?qs=QNEnbhJQKvbCz4hEJBS24w%3D%3D"
"12","1","JP1","SolderJumper_2_Bridged","Jumper:SolderJumper_2_Bridged","wembed-systems-libs:solder-jumper-0402-2x-open","~","","","","","","",""
"13","1","L1","2.2uH","Device:L_Small","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","",""
"14","1","Q1","DMC2400UV-7","wembed-systems-symbols:DMC2400UV-7","wembed-systems-libs:SOTFL50P162X60-6N","https://www.diodes.com/assets/Datasheets/DMC2400UV.pdf","","Dual N/P-Channel-Channel MOSFET, 1 A, 700 mA, 20 V, 6-Pin SOT-563 Diodes Inc DMC2400UV-7","0.6","Diodes Inc.","DMC2400UV-7","621-DMC2400UV-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMC2400UV-7?qs=F5djdNSOT4YvQAJ0%252BnbvBA%3D%3D"
"15","2","R1, R2","5.1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","",""
"16","1","R3","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","",""
"17","2","R4, R8","1M0","Device:R_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","","",""
"18","1","R5","30k","Device:R_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","",""
"19","1","R6","220k","Device:R_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","","",""
"20","1","R7","1M5","Device:R_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","","","",""
